symbol,pe,peg,revenue_growth,profit_margin,roe,dividend_yield,beta
AAPL,32.890965,,0.051,0.24301,1.38015,0.51,1.211
MSFT,38.896446,,0.133,0.35789,0.3361,0.67,1.026
GOOG,20.23549,,0.12,0.30857,0.34789002,0.47,1.014
GOOGL,20.11049,,0.12,0.30857,0.34789002,0.48,1.014
NVDA,53.2,,0.692,0.51694,1.15463,0.03,2.122
AMD,106.10145,,0.359,0.080249995,0.03904,,1.993
META,28.005854,,0.161,0.39113998,0.39835,0.28,1.266
AMZN,36.64821,,0.086,0.1014,0.2524,,1.334
TSLA,178.13069,,-0.092,0.063829996,0.087740004,,2.461
CRM,40.323437,,0.076,0.16079001,0.10312,0.61,1.377
ADBE,23.261845,,0.106,0.30392,0.52254003,,1.545
ORCL,53.247112,,0.113,0.21677999,0.82382005,0.91,1.324
CSCO,27.734692,,0.114,0.17604,0.21356001,2.36,0.882
AVGO,100.13869,,0.164,0.22643,0.18977,0.86,1.122
QCOM,16.08376,,0.169,0.2611,0.42205003,2.24,1.256
INTC,,,-0.004,-0.36189,-0.18127,,1.113
TXN,41.824196,,0.111,0.30363,0.29189,2.62,0.99
IBM,48.55993,,0.005,0.087110005,0.21851,2.28,0.652
NOW,126.52022,,0.186,0.1341,0.16858,,0.956
INTU,60.953545,,0.41,0.19072,0.17839001,0.53,1.283
AMAT,24.108404,,0.068,0.24059,0.36372003,1.01,1.664
LRCX,28.33705,,0.244,0.27185,0.53138,0.95,1.656
MU,22.437838,,0.366,0.1841,0.13109,0.37,1.281
ADI,66.66894,,0.223,0.18652001,0.05213,1.66,1.0
KLAC,33.670067,,0.298,0.31993,1.04097,0.85,1.386
SNPS,64.5075,,0.103,0.3477,0.15551,,1.11
CDNS,81.37056,,0.231,0.22185,0.25921,,0.984
MSI,34.727047,,0.058,0.18675,1.86885,1.04,0.967
FISV,,,,,,,
CTSH,15.865263,,0.075,0.11732,0.16605,1.59,0.976
DXC,6.809524,,-0.064,0.03022,0.12081,,1.212
HPQ,9.776923,,0.033,0.04636,,4.73,1.313
PAYC,31.367521,,0.061,0.20598,0.24987,0.65,0.818
ANET,45.810127,,0.276,0.4072,0.33681,,1.379
WDAY,123.408844,,0.126,0.055999998,0.05702,,1.236
FTNT,40.76543,,0.138,0.30597,2.05906,,1.072
PANW,107.695404,,0.153,0.13948,0.21162,,0.973
ZS,,,0.226,-0.01523,-0.02676,,1.089
DDOG,292.27658,,0.246,0.058480002,0.06476,,1.001
MDB,,,0.219,-0.04091,-0.04003,,1.402
TEAM,,,0.141,-0.08659001,-0.34334,,0.969
OKTA,140.86154,,0.115,0.04849,0.020769998,,0.841
NET,,,0.265,-0.04616,-0.07351,,1.835
DOCU,13.98289,,0.076,0.365,0.70195997,,1.132
SPLK,,,,,,,
ACN,22.377388,,0.077,0.11607,0.26928,1.98,1.327
V,34.96784,,0.093,0.52859,0.50655,0.66,0.943
MA,38.609123,,0.142,0.45213002,1.8770399,0.54,1.052
PYPL,16.035955,,0.012,0.14255999,0.22198999,,1.449
GPN,12.75081,,-0.003,0.15477,0.07102,1.25,0.936
FIS,50.09554,,0.026,0.08056,0.05246,1.97,1.077
FLT,,,,,,,
ENPH,38.399082,,0.352,0.10434,0.17132,,1.701
SEDG,,,0.074,-1.90671,-1.23296,,1.588
ON,41.479164,,-0.224,0.09507,0.07852,,1.381
MRVL,,,0.633,-0.0756,-0.03537,0.31,1.756
SWKS,29.460938,,-0.089,0.104270004,0.06701,3.76,1.155
NXPI,24.93682,,-0.093,0.19159001,0.25441998,1.86,1.39
KEYS,38.42488,,0.074,0.14526,0.14297,,1.098
TEL,38.502174,,0.044,0.08673,0.1122,1.68,1.222
GLW,99.23077,,0.16,0.03339,0.048660003,2.13,1.096
APH,47.94175,,0.477,0.15574999,0.27526,0.67,1.131
STX,21.176977,,0.305,0.17493999,,2.0,1.428
WDC,22.650684,,,0.10548,0.13558,0.63,1.543
HPE,19.923077,,0.059,0.04597,0.06373,2.54,1.329
NTAP,18.566137,,0.038,0.18045999,1.08509,1.95,1.414
XRX,,,-0.03,-0.21017,-0.66804004,1.9,1.846
ZBRA,30.94986,,0.113,0.10735,0.16159001,,1.754
